person_id	full_name	given_name	last_name	author_wikidata	author_wikidata_label	author_viaf	author_lccn	gender	elite_institution	graduate_degree	mfa_degree	iowa_mfa_person_id	stegner	role	prize_institution	prize_name	prize_year	prize_genre	prize_type	prize_amount	title_of_winning_book
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Columbia University	Pulitzer Prize	1964	prose	book	15000.0	No Winner
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Columbia University	Pulitzer Prize	1957	prose	book	15000.0	No Winner
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Columbia University	Pulitzer Prize	1946	poetry	book	15000.0	No Winner
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Columbia University	Pulitzer Prize	1946	prose	book	15000.0	No Winner
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Academy of American Poets	Academy of American Poets Fellowship	1951	poetry	career	25000.0	
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Yale University	Bollingen Prize for Poetry	1953	poetry	career	10000.0	
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Library of Congress	Poet Laureate	1956	poetry	career	35000.0	
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Library of Congress	Poet Laureate	1955	poetry	career	35000.0	
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Library of Congress	Poet Laureate	1954	poetry	career	35000.0	
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Library of Congress	Poet Laureate	1953	poetry	career	35000.0	
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Library of Congress	Poet Laureate	1952	poetry	career	35000.0	
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Library of Congress	Poet Laureate	1942	poetry	career	35000.0	
1732	No Winner	No Winner	No Winner					No Winner	No Winner	No Winner	No Winner	No Winner	No Winner	winner	Library of Congress	Poet Laureate	1941	poetry	career	35000.0	
580	Dinaw Mengestu	Dinaw	Mengestu	Q3028276	Dinaw Mengestu	56040841	n2006058630	male	Columbia University	graduate	Columbia University			judge	PEN America	Robert W. Bingham Prize for Debut Short Story Collection	2012	prose	book	25000.0	Zazen
1847	Phillip Lopate	Phillip	Lopate	Q7185739	Phillip Lopate	10935068	n79089489	male	Columbia University	graduate				judge	Columbia University	Pulitzer Prize	1985	poetry	book	15000.0	Yin
1098	Joel Connaroe	Joel	Connaroe					male		graduate				judge	Columbia University	Pulitzer Prize	1985	poetry	book	15000.0	Yin
1037	Jefferson Fletcher	Jefferson	Fletcher					male	Harvard University	graduate				judge	Columbia University	Pulitzer Prize	1931	prose	book	15000.0	Years Of Grace
1971	Robert Lovett	Robert	Lovett					male	Harvard University					judge	Columbia University	Pulitzer Prize	1931	prose	book	15000.0	Years Of Grace
51	Albert Paine	Albert	Paine	Q4710951	Albert Paine	24731419	n80089241	male						judge	Columbia University	Pulitzer Prize	1931	prose	book	15000.0	Years Of Grace
1988	Robert Wrigley	Robert	Wrigley	Q7351272	Robert Wrigley	52952040	n78090918	male		graduate	University of Montana			judge	Claremont Graduate University	Kate Tufts Discovery Award 	2002	poetry	book	10000.0	World's Tallest Disaster
1982	Robert Pinsky	Robert	Pinsky	Q588807	Robert Pinsky	79069348	n83039273	male	Stanford University	graduate			Stegner	judge	Claremont Graduate University	Kate Tufts Discovery Award 	2002	poetry	book	10000.0	World's Tallest Disaster
361	Charles Rowell	Charles	Rowell					male		graduate				judge	Claremont Graduate University	Kate Tufts Discovery Award 	2002	poetry	book	10000.0	World's Tallest Disaster
617	E. L. Doctorow	E. L.	Doctorow	Q335232	E. L. Doctorow	14768905	n79021656	male						winner	National Book Foundation	National Book Award	1986	prose	book	10000.0	World's Fair
2192	T. Coraghessan Boyle	T. Coraghessan	Boyle	Q786526	T. Coraghessan Boyle	14796817	n78072648	male		graduate	University of Iowa	758		winner	PEN America	Faulkner Award for Fiction	1988	prose	book	15000.0	World's End
2031	Russell Banks	Russell	Banks	Q665144	Russell Banks	66487364	n79131992	male						judge	PEN America	Faulkner Award for Fiction	1988	prose	book	15000.0	World's End
545	David St John	David	St John	Q5240013	David St. John	11122111	n79058424	male		graduate	University of Iowa	3483		judge	Academy of American Poets	Lenore Marshall Poetry Prize	2012	poetry	book	25000.0	World Tree
547	David Wojahn	David	Wojahn	Q5241252	David Wojahn	68953589	n81104795	male		graduate	University of Arizona			winner	Academy of American Poets	Lenore Marshall Poetry Prize	2012	poetry	book	25000.0	World Tree
471	Daniel Hoffman	Daniel	Hoffman	Q5217498	Daniel Hoffman	299139437	n79058587	male	Columbia University	graduate				judge	National Book Foundation	National Book Award	1959	poetry	book	10000.0	Words For The Wind: Poems Of Theodore Roethke
1869	Randall Jarrell	Randall	Jarrell	Q972676	Randall Jarrell	100256034	n79076730	male		graduate				judge	National Book Foundation	National Book Award	1959	poetry	book	10000.0	Words For The Wind: Poems Of Theodore Roethke
1980	Robert Penn Warren	Robert Penn	Warren	Q312720	Robert Penn Warren	61553765	n78091524	male		graduate				judge	National Book Foundation	National Book Award	1959	poetry	book	10000.0	Words For The Wind: Poems Of Theodore Roethke
2213	Theodore Roethke	Theodore	Roethke	Q1151763	Theodore Roethke	24682652	n79060436	male		graduate				winner	National Book Foundation	National Book Award	1959	poetry	book	10000.0	Words For The Wind: Poems Of Theodore Roethke
1139	John Holmes	John	Holmes	Q6239670	John Holmes	85144928712954440017	n85274137	male						judge	National Book Foundation	National Book Award	1959	poetry	book	10000.0	Words For The Wind: Poems Of Theodore Roethke
1536	Mark Sarvas	Mark	Sarvas	Q6769591	Mark Sarvas	107051357	n2008006863	male		graduate	Bennington College			judge	Center for Fiction	First Novel Prize	2009	prose	book	15000.0	Woodsburner
1164	John Pipkin	John	Pipkin	Q22279683	John Pipkin	48701179	n2008050822	male		graduate				winner	Center for Fiction	First Novel Prize	2009	prose	book	15000.0	Woodsburner
384	Chris Sorrentino	Chris	Sorrentino					male						judge	Center for Fiction	First Novel Prize	2009	prose	book	15000.0	Woodsburner
908	Howard Norman	Howard	Norman	Q5920510	Howard Norman	118417991	n79012257	male		graduate				judge	PEN America	Faulkner Award for Fiction	1997	prose	book	15000.0	Women In Their Beds
431	Cornelius Eady	Cornelius	Eady	Q5171355	Cornelius Eady	77765819	n85266803	male		graduate	Warren Wilson College			judge	Academy of American Poets	Lenore Marshall Poetry Prize	1995	poetry	book	25000.0	Winter Numbers
1741	Norman Rush	Norman	Rush	Q1215607	Norman Rush	93387650	n85220366	male						winner	American Academy of Arts and Letters	Rosenthal Family Foundation Award	1987	prose	book	10000.0	Whites
585	Don DeLillo	Don	DeLillo	Q310048	Don DeLillo	17253973	n79059951	male						winner	National Book Foundation	National Book Award	1985	prose	book	10000.0	White Noise
1477	Major Jackson	Major	Jackson	Q6738100	Major Jackson	162945253	n2001041364	male		graduate	University of Oregon			judge	PEN America	Jean Stein Book Award	2018	no genre	book	75000.0	Whereas
1800	Paul Yamazki	Paul	Yamazki					male						judge	PEN America	Jean Stein Book Award	2018	no genre	book	75000.0	Whereas
784	Garth Greenwell	Garth	Greenwell	Q5524350	Garth Greenwell	168706841	n2011011035	male	Harvard University	graduate	Washington University			judge	PEN America	Jean Stein Book Award	2020	no genre	book	75000.0	Where Reasons End 
2383	William T. Vollman	William T.	Vollman	Q29344	William T. Vollmann	46804375	n85319852	male	Cornell University					judge	PEN America	Jean Stein Book Award	2020	no genre	book	75000.0	Where Reasons End 
1642	Michael Schaub	Michael	Schaub					male						judge	PEN America	Jean Stein Book Award	2020	no genre	book	75000.0	Where Reasons End 
2344	Wilbur L. Cross	Wilbur L.	Cross					male	Yale University	graduate				judge	Columbia University	Pulitzer Prize	1926	poetry	book	15000.0	What's O'Clock
738	Ferris Greenslet	Ferris	Greenslet	Q5445372	Ferris Greenslet	52768436	n88640081	male	Columbia University	graduate				judge	Columbia University	Pulitzer Prize	1926	poetry	book	15000.0	What's O'Clock
2160	Stuart Sherman	Stuart	Sherman	Q7627085	Stuart Sherman	67408433	n50023078	male						judge	Columbia University	Pulitzer Prize	1926	poetry	book	15000.0	What's O'Clock
1839	Philip Levine	Philip	Levine	Q531273	Philip Levine	110361442	n78093573	male	Stanford University	graduate	University of Iowa	87	Stegner	winner	National Book Foundation	National Book Award	1991	poetry	book	10000.0	What Work Is
1632	Michael Harper	Michael	Harper					male		graduate	University of Iowa	3195		judge	National Book Foundation	National Book Award	1991	poetry	book	10000.0	What Work Is
637	Edward Hirsch	Edward	Hirsch	Q5343460	Edward Hirsch	46805662	n80153675	male	University of Pennsylvania	graduate				judge	National Book Foundation	National Book Award	1991	poetry	book	10000.0	What Work Is
1918	Richard Wilbur	Richard	Wilbur	Q1333582	Richard Wilbur	14804371	n79007244	male	Harvard University	graduate				judge	National Book Foundation	National Book Award	1991	poetry	book	10000.0	What Work Is
1962	Robert Hass	Robert	Hass	Q370513	Robert Hass	26975	n83039272	male	Stanford University	graduate				winner	PEN America	Diamonstein-Spielvogel Award for the Art of the Essay	2013	prose	book	15000.0	What Light Can Do: Essays on Art, Imagination, and the Natural World
1530	Mark Kramer	Mark	Kramer	Q110903764	Mark Kramer			male	Columbia University	graduate				judge	PEN America	Diamonstein-Spielvogel Award for the Art of the Essay	2013	prose	book	15000.0	What Light Can Do: Essays on Art, Imagination, and the Natural World
1960	Robert Gottlieb	Robert	Gottlieb	Q2157324	Robert Gottlieb	115258333	n96029097	male	Columbia University					judge	PEN America	Diamonstein-Spielvogel Award for the Art of the Essay	2013	prose	book	15000.0	What Light Can Do: Essays on Art, Imagination, and the Natural World
2187	Sven Birkerts	Sven	Birkerts	Q2370989	Sven Birkerts	2502462	n86115535	male						judge	PEN America	Diamonstein-Spielvogel Award for the Art of the Essay	2013	prose	book	15000.0	What Light Can Do: Essays on Art, Imagination, and the Natural World
1522	Mark Athitakis	Mark	Athitakis					male						judge	Kirkus Review	Kirkus Prize	2017	prose	book	50000.0	What It Means When A Man Falls From The Sky
883	Henry Seidel Canby	Henry Seidel	Canby	Q15501218	Henry Seidel Canby	7559111	n50051945	male	Yale University	graduate				judge	Columbia University	Pulitzer Prize	1944	poetry	book	15000.0	Western Star
2145	Stephen Vincent Benét	Stephen Vincent	Benét	Q1348138	Stephen Vincent Benét	100260717	n50007691	male	Yale University	graduate				winner	Columbia University	Pulitzer Prize	1944	poetry	book	15000.0	Western Star
2344	Wilbur L. Cross	Wilbur L.	Cross					male	Yale University	graduate				judge	Columbia University	Pulitzer Prize	1944	poetry	book	15000.0	Western Star
1430	Louis Untermeyer	Louis	Untermeyer	Q1872015	Louis Untermeyer	39541598	n79054344	male						judge	Columbia University	Pulitzer Prize	1944	poetry	book	15000.0	Western Star
392	Christopher Coake	Christopher	Coake	Q5112119	Christopher Coake	29812997	n2004032675	male		graduate	Ohio State University			winner	PEN America	Robert W. Bingham Prize for Debut Short Story Collection	2006	prose	book	25000.0	We'Re In Trouble
230	Benjamine Alire Saenz	Benjamine Alire	Saenz					male		graduate	University of Texas, El Paso			judge	PEN America	Hemingway Award for Debut Novel	2014	prose	book	10000.0	We Need New Names
2079	Scott Turow	Scott	Turow	Q451136	Scott Turow	106980468	n86032292	male	Stanford University	graduate			Stegner	judge	PEN America	Hemingway Award for Debut Novel	2014	prose	book	10000.0	We Need New Names
1484	Manuel Muñoz	Manuel	Muñoz	Q15439348	Manuel Muñoz	25801478	n2006073516	male	Harvard University, Cornell University	graduate	Cornell University			judge	PEN America	Faulkner Award for Fiction	2014	prose	book	15000.0	We Are All Completely Beside Ourselves
1471	Madison Smart Bell	Madison Smart	Bell					male	Princeton University	graduate				judge	PEN America	Faulkner Award for Fiction	2014	prose	book	15000.0	We Are All Completely Beside Ourselves
1988	Robert Wrigley	Robert	Wrigley	Q7351272	Robert Wrigley	52952040	n78090918	male		graduate	University of Montana			judge	Claremont Graduate University	Kingsley Tufts Poetry Award	2003	poetry	book	100000.0	Waterborne
1982	Robert Pinsky	Robert	Pinsky	Q588807	Robert Pinsky	79069348	n83039273	male	Stanford University	graduate			Stegner	judge	Claremont Graduate University	Kingsley Tufts Poetry Award	2003	poetry	book	100000.0	Waterborne
361	Charles Rowell	Charles	Rowell					male		graduate				judge	Claremont Graduate University	Kingsley Tufts Poetry Award	2003	poetry	book	100000.0	Waterborne
223	Ben Fountain	Ben	Fountain	Q4885665	Ben Fountain	49546748	n2005069858	male		graduate				judge	Center for Fiction	First Novel Prize	2013	prose	book	15000.0	Wash
1423	Louis Begley	Louis	Begley	Q314843	Louis Begley	84023825	n91018358	male	Harvard University	graduate				winner	PEN America	Hemingway Award for Debut Novel	1992	prose	book	10000.0	Wartime Lies
498	David Anthony Durham	David Anthony	Durham	Q983109	David Anthony Durham	102136079	n00024904	male		graduate	University of Maryland			judge	PEN America	Faulkner Award for Fiction	2005	prose	book	15000.0	War Trash
888	Herbert Gold	Herbert	Gold	Q5734234	Herbert Gold	108304879	n79039596	male	Columbia University	graduate				judge	PEN America	Faulkner Award for Fiction	2005	prose	book	15000.0	War Trash
844	Ha Jin	Ha	Jin	Q121778	Ha Jin	111746273	n89118088	male		graduate				winner	PEN America	Faulkner Award for Fiction	2005	prose	book	15000.0	War Trash
35	Al Young	Al	Young	Q4705004	Al Young	61622497	n80007959	male	Stanford University	graduate			Stegner	judge	PEN America	Faulkner Award for Fiction	2010	prose	book	15000.0	War Dances
2100	Sherman Alexie	Sherman	Alexie	Q727331	Sherman Alexie	46892548	n91093126	male						winner	PEN America	Faulkner Award for Fiction	2010	prose	book	15000.0	War Dances
963	James Baker Hall	James Baker	Hall	Q3090478	James Baker Hall	43292531	n85274309	male	Stanford University	graduate			Stegner	judge	Columbia University	Pulitzer Prize	2004	poetry	book	15000.0	Walking To Martha's Vineyard
591	Donald Hall	Donald	Hall	Q976924	Donald Hall	49226675	n79043673	male	Harvard University, Stanford University	graduate			Stegner	judge	Columbia University	Pulitzer Prize	2004	poetry	book	15000.0	Walking To Martha's Vineyard
2341	Wesley McNair	Wesley	McNair	Q7983963	Wesley McNair	35835638	n83187530	male		graduate				judge	Columbia University	Pulitzer Prize	2004	poetry	book	15000.0	Walking To Martha's Vineyard
764	Franz Wright	Franz	Wright	Q5493008	Franz Wright	119473497	n82162317	male						winner	Columbia University	Pulitzer Prize	2004	poetry	book	15000.0	Walking To Martha's Vineyard
1019	Jarold Ramsey	Jarold	Ramsey	Q109616025	Jarold Ramsey	24783200	n82149782	male						judge	National Book Foundation	National Book Award	1999	prose	book	10000.0	Waiting
1718	Nicholas Delbanco	Nicholas	Delbanco					male	Harvard University, Columbia University	graduate				judge	PEN America	Faulkner Award for Fiction	2000	prose	book	15000.0	Waiting
354	Charles Johnson	Charles	Johnson	Q1065092	Charles Johnson	4098150567615706370002	n86836122	male		graduate				judge	National Book Foundation	National Book Award	1999	prose	book	10000.0	Waiting
844	Ha Jin	Ha	Jin	Q121778	Ha Jin	111746273	n89118088	male		graduate				winner	PEN America	Faulkner Award for Fiction	2000	prose	book	15000.0	Waiting
844	Ha Jin	Ha	Jin	Q121778	Ha Jin	111746273	n89118088	male		graduate				winner	National Book Foundation	National Book Award	1999	prose	book	10000.0	Waiting
1887	Reginald McKnight	Reginald	McKnight	Q7308811	Reginald McKnight	56665078	n87943412	male		graduate				judge	PEN America	Faulkner Award for Fiction	2000	prose	book	15000.0	Waiting
2078	Scott Spencer	Scott	Spencer	Q7437294	Scott Spencer	88181441	n79055602	male						judge	National Book Foundation	National Book Award	1999	prose	book	10000.0	Waiting
2246	Tim Seibles	Tim	Seibles	Q7804255	Tim Seibles	14616617	nr89012503	male		graduate	Vermont College of Fine Arts 			judge	National Book Foundation	National Book Award	2015	poetry	book	10000.0	Voyage Of The Sable Venus
2390	Willie Perdomo	Willie	Perdomo	Q8021763	Willie Perdomo	36158993	n95025107	male		graduate	Long Island University			judge	National Book Foundation	National Book Award	2015	poetry	book	10000.0	Voyage Of The Sable Venus
2100	Sherman Alexie	Sherman	Alexie	Q727331	Sherman Alexie	46892548	n91093126	male						judge	National Book Foundation	National Book Award	2015	poetry	book	10000.0	Voyage Of The Sable Venus
1376	Leonard Michaels	Leonard	Michaels	Q3229679	Leonard Michaels	98055813	n79148872	male		graduate				judge	National Book Foundation	National Book Award	1984	prose	book	10000.0	Victory Over Japan: A Book Of Stories[
1376	Leonard Michaels	Leonard	Michaels	Q3229679	Leonard Michaels	98055813	n79148872	male		graduate				judge	National Book Foundation	National Book Award	1984	prose	book	10000.0	Victory Over Japan: A Book Of Stories[
1193	Jonathan Yardley	Jonathan	Yardley	Q15462185	Jonathan Yardley	69022113	n82269792	male						judge	National Book Foundation	National Book Award	1984	prose	book	10000.0	Victory Over Japan: A Book Of Stories[
1193	Jonathan Yardley	Jonathan	Yardley	Q15462185	Jonathan Yardley	69022113	n82269792	male						judge	National Book Foundation	National Book Award	1984	prose	book	10000.0	Victory Over Japan: A Book Of Stories[
994	James Tate	James	Tate	Q531155	James Tate	57136	n78094025	male		graduate	University of Iowa	345		judge	National Book Foundation	National Book Award	1999	poetry	book	10000.0	Vice: New And Selected Poems
196	Arthur Sze	Arthur	Sze	Q4800412	Arthur Sze	1346498	n82011115	male						judge	National Book Foundation	National Book Award	1999	poetry	book	10000.0	Vice: New And Selected Poems
2341	Wesley McNair	Wesley	McNair	Q7983963	Wesley McNair	35835638	n83187530	male		graduate				judge	Columbia University	Pulitzer Prize	2010	poetry	book	15000.0	Versed
883	Henry Seidel Canby	Henry Seidel	Canby	Q15501218	Henry Seidel Canby	7559111	n50051945	male	Yale University	graduate				judge	Columbia University	Pulitzer Prize	1945	poetry	book	15000.0	V-Letter And Other Poems
2344	Wilbur L. Cross	Wilbur L.	Cross					male	Yale University	graduate				judge	Columbia University	Pulitzer Prize	1945	poetry	book	15000.0	V-Letter And Other Poems
1263	Karl Shapiro	Karl	Shapiro	Q2906282	Karl Shapiro	109257053	n79021704	male						winner	Columbia University	Pulitzer Prize	1945	poetry	book	15000.0	V-Letter And Other Poems
1430	Louis Untermeyer	Louis	Untermeyer	Q1872015	Louis Untermeyer	39541598	n79054344	male						judge	Columbia University	Pulitzer Prize	1945	poetry	book	15000.0	V-Letter And Other Poems
2354	William Alfred	William	Alfred	Q8004294	William Alfred	53072398	n83208234	male	Harvard University	graduate				judge	Columbia University	Pulitzer Prize	1973	poetry	book	15000.0	Up Country
1429	Louis Simpson	Louis	Simpson	Q1871997	Louis Simpson	7509913	n50023694	male	Columbia University	graduate				judge	Columbia University	Pulitzer Prize	1973	poetry	book	15000.0	Up Country
1904	Richard Howard	Richard	Howard	Q2636383	Richard Howard	73940071	n79066341	male	Columbia University	graduate				winner	Columbia University	Pulitzer Prize	1970	poetry	book	15000.0	Untitled Subjects
966	James Dickey	James	Dickey	Q1377013	James Dickey	109230203	n79043450	male						judge	Columbia University	Pulitzer Prize	1970	poetry	book	15000.0	Untitled Subjects
2315	W. H. Auden	W. H.	Auden	Q178698	W. H. Auden	2465832	n79054316	male						judge	Columbia University	Pulitzer Prize	1970	poetry	book	15000.0	Untitled Subjects
1933	Rigoberto González	Rigoberto	González	Q7333845	Rigoberto González	43620311	n98086894	male		graduate	University of Arizona			winner	Academy of American Poets	Lenore Marshall Poetry Prize	2014	poetry	book	25000.0	Unpeopled Eden
1331	Kwame Dawes	Kwame	Dawes	Q6450075	Kwame Dawes	65093267	no95021730	male		graduate				judge	Academy of American Poets	Lenore Marshall Poetry Prize	2014	poetry	book	25000.0	Unpeopled Eden
1925	Rick Demarinis	Rick	Demarinis	Q204668	Rick DeMarinis	17221574	n85244651	male						winner	University of Pittsburg Press	Drue Heinz Literature Prize	1986	prose	book	15000.0	Under The Wheat
477	Daniel Stern	Daniel	Stern	Q5218842	Daniel Stern	108290713	n80003985	male						winner	American Academy of Arts and Letters	Rosenthal Family Foundation Award	1990	prose	book	10000.0	Twice Told Tales
1429	Louis Simpson	Louis	Simpson	Q1871997	Louis Simpson	7509913	n50023694	male	Columbia University	graduate				judge	Columbia University	Pulitzer Prize	1975	poetry	book	15000.0	Turtle Island
998	James Wright	James	Wright	Q6145850	James Wright	12322205	n50028672	male		graduate				judge	Columbia University	Pulitzer Prize	1975	poetry	book	15000.0	Turtle Island
786	Gary Snyder	Gary	Snyder	Q315963	Gary Snyder	68944804	n79150347	male						winner	Columbia University	Pulitzer Prize	1975	poetry	book	15000.0	Turtle Island
1021	Javier Ramirez	Javier	Ramirez					male						judge	National Book Foundation	National Book Award	2019	prose	book	10000.0	Trust Excercise
1036	Jeff VanderMeer	Jeff	VanderMeer	Q1038440	Jeff VanderMeer	47888668	n96100108	male						judge	National Book Foundation	National Book Award	2019	prose	book	10000.0	Trust Excercise
2344	Wilbur L. Cross	Wilbur L.	Cross					male	Yale University	graduate				judge	Columbia University	Pulitzer Prize	1928	poetry	book	15000.0	Tristram
1124	John Erskine	John	Erskine	Q552067	John Erskine	100198296	n50012296	male	Columbia University	graduate				judge	Columbia University	Pulitzer Prize	1928	poetry	book	15000.0	Tristram
643	Edwin Arlington Robinson	Edwin Arlington	Robinson	Q1294394	Edwin Arlington Robinson	64021896	n80008798	male	Harvard University					winner	Columbia University	Pulitzer Prize	1928	poetry	book	15000.0	Tristram
1958	Robert Frost	Robert	Frost	Q168728	Robert Frost	32010055	n79005644	male	Harvard University					judge	Columbia University	Pulitzer Prize	1928	poetry	book	15000.0	Tristram
129	Andrew Sean Greer	Andrew Sean	Greer	Q457601	Andrew Sean Greer	27318205	n99257436	male	Brown University	graduate	University of Montana			judge	National Book Foundation	National Book Award	2007	prose	book	10000.0	Tree Of Smoke
569	Denis Johnson	Denis	Johnson	Q340016	Denis Johnson	51707360	n81147004	male		graduate	University of Iowa	786		winner	National Book Foundation	National Book Award	2007	prose	book	10000.0	Tree Of Smoke
535	David Means	David	Means	Q5237471	David Means	79550766	n85234747	male	Columbia University	graduate	Columbia University			judge	National Book Foundation	National Book Award	2007	prose	book	10000.0	Tree Of Smoke
2326	Walter Kirn	Walter	Kirn	Q7965359	Walter Kirn	85467631	n88151537	male	Princeton University					judge	National Book Foundation	National Book Award	2007	prose	book	10000.0	Tree Of Smoke
810	Gerald Stern	Gerald	Stern	Q5549604	Gerald Stern	116108024	n80145884	male	Columbia University	graduate				judge	Academy of American Poets	Lenore Marshall Poetry Prize	1994	poetry	book	25000.0	Travels
2139	Stephen Dunn	Stephen	Dunn	Q3973175	Stephen Dunn	114672534	n84077974	male		graduate				judge	Academy of American Poets	Lenore Marshall Poetry Prize	1994	poetry	book	25000.0	Travels
2396	W. S. Merwin	W. S.	Merwin	Q680368	W. S. Merwin	110923132	n50036920	male	Princeton University					winner	Academy of American Poets	Lenore Marshall Poetry Prize	1994	poetry	book	25000.0	Travels
881	Henry Rago	Henry	Rago	Q5727351	Henry Rago	245717809	n85173304	male						judge	National Book Foundation	National Book Award	1963	poetry	book	10000.0	Traveling Through The Dark
2381	William Stafford	William	Stafford	Q2580632	William Stafford	110362789	n50023886	male		graduate				winner	National Book Foundation	National Book Award	1963	poetry	book	10000.0	Traveling Through The Dark
1884	Reed Whittemore	Reed	Whittemore	Q7306708	Reed Whittemore	2502914	n50016190	male	Yale University					judge	National Book Foundation	National Book Award	1963	poetry	book	10000.0	Traveling Through The Dark
2005	Rolfe Humphries	Rolfe	Humphries	Q7360825	Rolfe Humphries	79410283	n50034126	male						judge	National Book Foundation	National Book Award	1963	poetry	book	10000.0	Traveling Through The Dark
2291	Van Jordan	Van	Jordan	Q4648474	A. Van Jordan	2121769	no2001077639	male		graduate	Warren Wilson College			judge	National Book Foundation	National Book Award	2009	poetry	book	10000.0	Transcendental Studies: A Trilogy
1317	Kevin Young	Kevin	Young	Q6397805	Kevin Young	9074736	n94048090	male	Harvard University, Brown University, Stanford University	graduate	Brown University		Stegner	judge	National Book Foundation	National Book Award	2009	poetry	book	10000.0	Transcendental Studies: A Trilogy
1300	Keith Waldrop	Keith	Waldrop	Q6385175	Keith Waldrop	92823764	n50020091	male		graduate				winner	National Book Foundation	National Book Award	2009	poetry	book	10000.0	Transcendental Studies: A Trilogy
2239	Thorp Menn	Thorp	Menn					male						judge	National Book Foundation	National Book Award	1971	poetry	book	10000.0	To See, To Take: Poems
2312	W. D. Snodgrass	W. D.	Snodgrass	Q1334959	W. D. Snodgrass	117357452	n50014773	male		graduate	University of Iowa	62		judge	National Book Foundation	National Book Award	1971	poetry	book	10000.0	To See, To Take: Poems
1904	Richard Howard	Richard	Howard	Q2636383	Richard Howard	73940071	n79066341	male	Columbia University	graduate				judge	National Book Foundation	National Book Award	1971	poetry	book	10000.0	To See, To Take: Poems
